epoch,acc,loss,val_acc,val_loss
0,0.51381654,0.6924286601404664,0.5247374,0.6911067464035178
1,0.51774347,0.6919382886281089,0.5245374,0.6911777766571052
2,0.5196656,0.6918125310272136,0.5263579,0.6908650419933147
3,0.5174128,0.691651600378531,0.5273982,0.6908673872157813
4,0.51962423,0.6914952378424387,0.526658,0.6906681007226133
5,0.52068865,0.6912105729970982,0.52719814,0.6906501262250204
6,0.52092636,0.6911448918322407,0.5259778,0.690803458818951
7,0.5239852,0.6908388800091214,0.5269381,0.6905418455439758
8,0.52418154,0.6906255379555717,0.52677804,0.690400589518849
9,0.5231895,0.6905744867350059,0.5252176,0.6910066710682742
10,0.5234892,0.6905196375317044,0.5283985,0.6904827518964918
11,0.52417123,0.6903544585540812,0.5270981,0.6905653267595021
12,0.5260727,0.6902379816171353,0.52779835,0.6906121821728803
13,0.52612436,0.6900220626876468,0.5289587,0.6905239083975139
14,0.5290282,0.6900662278372144,0.5256777,0.6908032479555211
15,0.52703375,0.6898767837771663,0.5272382,0.6905405054011797
16,0.5291625,0.6898309689350229,0.52307695,0.6913688300322971
17,0.5304646,0.6894924132912247,0.5269581,0.6908875718931919
18,0.53232473,0.6895239179727262,0.5277583,0.6908569080884235
