epoch,acc,loss,val_acc,val_loss
0,0.5261121,0.6911096534286018,0.533174,0.6896265926984955
1,0.5302524,0.6900296253931114,0.53570855,0.6886000533398285
2,0.5322369,0.6896965513651641,0.5373929,0.6882567408913357
3,0.53384566,0.6893950054913507,0.5365908,0.6880561129535647
4,0.53442544,0.689033420182012,0.53724855,0.6883784233596305
5,0.5345071,0.6889318085245997,0.53720045,0.6879248594047513
6,0.5352339,0.6887584207356879,0.5375533,0.687762598127185
7,0.53588724,0.688462825319637,0.5361898,0.6881701667214951
8,0.53685904,0.6883351739635357,0.5346819,0.6882268002729389
9,0.53746337,0.688211505616889,0.527014,0.6903401531407929
10,0.53725106,0.6881180142423311,0.5364625,0.6880449910718295
11,0.5381902,0.6880417317542644,0.5364304,0.687923043638333
12,0.53965193,0.6880363661753233,0.53858,0.6876857422681626
13,0.5379778,0.6877810949070252,0.5354038,0.6884201693540205
14,0.5377165,0.6876881236411967,0.53781,0.6875585323922302
15,0.5386475,0.6875826499831535,0.5335269,0.6884957826964806
16,0.5395213,0.6874802030770385,0.53683144,0.6878335515028274
17,0.5400276,0.6874332012430662,0.529709,0.6896174431684757
18,0.54125255,0.6872088268082726,0.536254,0.6876859569359095
19,0.5401583,0.687278774710777,0.53015816,0.689801568806223
20,0.5394886,0.6872915477238399,0.5367673,0.6878481087378203
21,0.54144037,0.6871539163579548,0.5356123,0.6880640136908359
22,0.54153836,0.6869351633509013,0.534714,0.6884202598232734
23,0.5392273,0.6869398470971567,0.53667104,0.6881683246035094
24,0.5409586,0.6868075552678315,0.53894895,0.6877138815599585
