epoch,acc,loss,val_acc,val_loss
0,0.528883,0.6908089706741936,0.52952534,0.69092139952288
1,0.532082,0.6895616918940304,0.52922577,0.6904990242051504
2,0.53403145,0.6893548228564395,0.5295586,0.6906721558855612
3,0.5341148,0.6892099546382728,0.5312895,0.6904787335198361
4,0.5350728,0.6890678261025458,0.52912587,0.6905935675959304
5,0.5349479,0.6887324777763827,0.5326543,0.6898183099130413
6,0.5355477,0.6884707808037736,0.5304074,0.6898801669832568
7,0.53608084,0.6883060984138949,0.5308069,0.6898438647467782
8,0.53578925,0.6880384021302074,0.5332202,0.6896772686099174
9,0.5367556,0.6879509489516185,0.5335697,0.6900292139468883
10,0.5374138,0.6878232722908627,0.5328873,0.6898544805717011
11,0.53673065,0.687715546964602,0.53441846,0.6894923390152372
12,0.5383635,0.6875850816132756,0.5338193,0.689754420388325
13,0.5382302,0.687410214460219,0.53198856,0.6899570193932588
14,0.5397964,0.687276481426109,0.5330537,0.689605033637347
15,0.5387884,0.6871560647060284,0.52734506,0.6898152817185269
16,0.53897995,0.6872027639451453,0.53393584,0.6894552833143051
17,0.5387717,0.687032101284147,0.5330038,0.6895248463433034
18,0.5387134,0.6869137630319956,0.5324213,0.6906810923761045
19,0.54007965,0.6866766830160258,0.532155,0.6898077478715785
20,0.54058784,0.6867737652575459,0.53060716,0.6899317991605779
21,0.5406545,0.6867023307403429,0.5348678,0.6894043871894688
22,0.540163,0.6864706431561292,0.5332368,0.6897561786678087
23,0.54097104,0.6863801909198549,0.53113973,0.6904470198767598
24,0.5419041,0.6863159857177143,0.53195524,0.6911460854949872
25,0.542179,0.6863109069189294,0.53270423,0.6896864746764643
26,0.54027957,0.6863819190354599,0.5303242,0.6898838157708092
27,0.5419208,0.6860312198547042,0.5339691,0.6902945150818586
28,0.54202074,0.686078112446927,0.5307902,0.6904243916584611
29,0.5431704,0.6859214233857145,0.5308734,0.6908673203370042
30,0.5421957,0.6859064101000979,0.53416884,0.6897917399908952
31,0.54310375,0.6859576256210267,0.5336196,0.6897115205037563
