epoch,acc,loss,val_acc,val_loss
0,0.519317,0.692256845478529,0.51462823,0.6930654561470351
1,0.5242448,0.6912805219600677,0.51728004,0.6928040146750525
2,0.5265762,0.6909263582653168,0.5164459,0.6928097858804612
3,0.52701336,0.6904570870672159,0.51391864,0.6929862318680786
4,0.5278081,0.6902183035062388,0.51314676,0.6936623362643353
5,0.52906656,0.689781990128789,0.5168443,0.6927090075604796
6,0.5297488,0.6895286407249372,0.5199069,0.692251819121957
7,0.5305502,0.6892944155278747,0.5195085,0.6926618964600495
8,0.53288823,0.6890531009082284,0.5175788,0.6926747951948763
9,0.53101385,0.6890442433029474,0.5191599,0.692743854229802
10,0.5320007,0.6887514240018598,0.5188985,0.692700417430258
11,0.5340142,0.6880878890281809,0.51808923,0.693172747184957
12,0.53543824,0.6879261109691422,0.5217245,0.693539971903046
13,0.53459704,0.6879483574564125,0.52087796,0.69310394881832
14,0.5365311,0.6876248167830131,0.51932174,0.6929190200517676
15,0.536955,0.687244253844038,0.51934665,0.6933978238515862
16,0.5374451,0.6870866185819876,0.52087796,0.6931265858764234
