epoch,acc,loss,val_acc,val_loss
0,0.5070417,0.6932112951173437,0.5117248,0.6923252963999078
1,0.51500213,0.6924078619497411,0.51307034,0.6923812769561575
2,0.51638305,0.6922064934650467,0.51795346,0.6917117173877012
3,0.5186656,0.6917950787175933,0.51901686,0.6919684694597359
4,0.51893383,0.6915221145887966,0.5166296,0.6918476311061342
5,0.52200955,0.6912404262021355,0.5175628,0.691804685696008
6,0.5228541,0.69102920828475,0.51797515,0.6915067177918126
7,0.5256731,0.6906830059450895,0.5184092,0.6915346763906396
8,0.52482283,0.6906482900247881,0.5185828,0.691502068730419
9,0.52620375,0.6903859942444349,0.5183441,0.6915646317259863
10,0.5280127,0.6903465512161544,0.517986,0.6916033342982728
11,0.52760756,0.6901826864744843,0.5191037,0.6914934233721142
12,0.52833796,0.6900722783728636,0.5186696,0.6919969230665516
13,0.5298045,0.6897017533151051,0.51763874,0.691942603439602
14,0.52976453,0.6897806688253577,0.51899517,0.6917742347899679
15,0.5309629,0.6894726351591759,0.51915795,0.6918295530713806
16,0.5294507,0.6895379058478368,0.5182247,0.692221118969069
17,0.5317504,0.6893418783191686,0.51705277,0.6919312554098859
18,0.53281176,0.6891249060655288,0.5193641,0.6919941278593416
19,0.5339987,0.6889782875235148,0.5190494,0.6920687968257091
20,0.5336392,0.6889569514524626,0.5170311,0.6922575967303192
21,0.5327832,0.6888772856839391,0.5192556,0.6927109162946266
