Date,Open,Close
2010-06-01,201.0,200.39
2010-06-02,201.33,201.02
2010-06-03,201.31,202.0
2010-06-04,199.5,196.67
2010-06-07,197.29,200.07
2010-06-08,201.12,197.54
2010-06-09,198.0,195.46
2010-06-10,198.2412,205.12
2010-06-11,204.0,204.88
2010-06-14,206.84,204.17
2010-06-15,205.45,209.57
2010-06-16,207.15,210.62
2010-06-17,212.15,214.0
2010-06-18,215.48,214.26
2010-06-21,215.73,223.34
2010-06-22,223.34,220.94
2010-06-23,221.76,219.85
2010-06-24,217.75,214.89
2010-06-25,214.67,218.39
2010-06-28,218.0,211.52
2010-06-29,210.0,202.99
2010-06-30,203.32,199.53
