Date,Open,Close
2016-08-01,233.74,234.62
2016-08-02,233.7,231.51
2016-08-03,231.86,230.43
2016-08-04,230.93,229.51
2016-08-05,229.81,230.61
2016-08-08,230.99,233.2
2016-08-09,233.51,233.59
2016-08-10,233.97,232.71
2016-08-11,232.62,228.68
2016-08-12,228.69,229.42
2016-08-15,229.28,231.65
2016-08-16,230.59,230.1
2016-08-17,230.29,228.03
2016-08-18,227.4,227.59
2016-08-19,226.74,224.58
2016-08-22,225.1,224.02
2016-08-23,224.58,224.02
2016-08-24,224.45,223.18
2016-08-25,223.53,225.52
2016-08-26,225.78,222.02
2016-08-29,222.71,225.4
2016-08-30,225.67,225.75
2016-08-31,225.57,227.1
