Date,Open,Close
2013-05-01,77.85,78.06
2013-05-02,77.91,78.46
2013-05-03,78.92,79.25
2013-05-06,79.1,78.83
2013-05-07,79.1,78.83
2013-05-08,78.5599,78.25
2013-05-09,78.31,78.4
2013-05-10,78.47,78.89
2013-05-13,78.8,78.5
2013-05-14,77.98,78.78
2013-05-15,78.8,79.86
2013-05-16,78.1,78.5
2013-05-17,78.3,77.87
2013-05-20,77.88,77.4
2013-05-21,77.62,77.39
2013-05-22,77.19,77.03
2013-05-23,76.83,76.33
2013-05-24,76.32,77.31
2013-05-28,77.52,77.32
2013-05-29,77.05,76.23
2013-05-30,76.49,75.63
2013-05-31,75.36,74.84
