epochs,train loss,val loss,train acc,val acc
0,0.6931493336034606,0.6926284815031016,0.5091687440872192,0.5078464150428772
1,0.6925565659351288,0.6923262591849367,0.5131352543830872,0.5154313445091248
2,0.6923834974189834,0.6921670129611007,0.5154162645339966,0.5156246423721313
3,0.692027304842758,0.6921964924364056,0.5177627801895142,0.5152721405029297
4,0.6919041392488063,0.6921977077291439,0.5190253853797913,0.5164661407470703
5,0.6915623819610711,0.6921179652764426,0.5191683769226074,0.5157952308654785
6,0.6913661669138353,0.6919934186850509,0.5210384130477905,0.5154540538787842
7,0.6909955334020015,0.6919388234603125,0.5230991244316101,0.5151243209838867
8,0.6908529792183434,0.6918450774243976,0.5232122540473938,0.516977846622467
9,0.6906860610345209,0.6920107379560786,0.523641049861908,0.5158975720405579
10,0.6903583524863377,0.6920989373940595,0.5264580845832825,0.5158748030662537
11,0.6900986988962198,0.6918313870621079,0.5284830331802368,0.518206000328064
12,0.6899373912635632,0.6917620617794225,0.527351438999176,0.5195592641830444
13,0.6894442551712813,0.6919120888338695,0.531413197517395,0.5166481137275696
14,0.6892598916851741,0.6919337441059122,0.530281662940979,0.5196843147277832
15,0.6889582814599016,0.6918144775772493,0.532098114490509,0.5198208093643188
16,0.6887127964118069,0.6917614704247274,0.5341349840164185,0.5206850171089172
17,0.6883369974995543,0.6922576064319954,0.5345280170440674,0.5163865685462952
18,0.6881994281689838,0.6919171731592773,0.5351831912994385,0.5204234719276428
19,0.6881179208735103,0.6923863035734205,0.5359693169593811,0.5187973380088806
20,0.6878225106505655,0.6917490825043813,0.5371485352516174,0.5205371975898743
21,0.6876319465483598,0.6922242704294873,0.5377857685089111,0.5204917192459106
22,0.6874220878205484,0.6919175536846887,0.5381550788879395,0.5205144286155701
23,0.6872286179472703,0.6923898383041355,0.5400608777999878,0.5189906358718872
24,0.6869100665389702,0.6923770189757029,0.5390662550926208,0.5203893780708313
25,0.6869393849372579,0.6920489911486067,0.5405671000480652,0.5193318128585815
26,0.6865848284964089,0.6921217397447416,0.5403467416763306,0.5186836123466492
27,0.6863738188203615,0.6921006270608198,0.5419666767120361,0.5179899334907532
28,0.6862501625884586,0.6921502506720199,0.5412520170211792,0.5174554586410522
29,0.6859328491649422,0.692907878070112,0.5430625081062317,0.5183424949645996
30,0.6859744889051038,0.6921196801222307,0.5423776507377625,0.5189679265022278
