date,name,cik,variable,value
1957-03-04,Ford Motor Company,37996.0,added_ticker,F
1957-03-04,Campbell Soup,16732.0,added_ticker,CPB
1957-03-04,DTE Energy Co.,936340.0,added_ticker,DTE
1957-03-04,American Electric Power,4904.0,added_ticker,AEP
1957-03-04,Hartford Financial Svc.Gp.,874766.0,added_ticker,HIG
1957-03-04,Sealed Air,1012100.0,added_ticker,SEE
1957-03-04,Exelon Corp.,1109357.0,added_ticker,EXC
1957-03-04,Edison Int'l,827052.0,added_ticker,EIX
1957-03-04,Boeing Company,12927.0,added_ticker,BA
1957-03-04,Bristol-Myers Squibb,14272.0,added_ticker,BMY
1957-03-04,International Business Machines,51143.0,added_ticker,IBM
1957-03-04,Caterpillar Inc.,18230.0,added_ticker,CAT
1957-03-04,Coca-Cola Company,21344.0,added_ticker,KO
1957-03-04,Colgate-Palmolive,21665.0,added_ticker,CL
1957-03-04,Merck & Co.,310158.0,added_ticker,MRK
1957-03-04,Altria Group Inc,764180.0,added_ticker,MO
1957-03-04,Public Service Enterprise Group (PSEG),788784.0,added_ticker,PEG
1957-03-04,The Hershey Company,47111.0,added_ticker,HSY
1957-03-04,Exxon Mobil Corp.,34088.0,added_ticker,XOM
1957-03-04,Halliburton Co.,45012.0,added_ticker,HAL
1957-03-04,General Dynamics,40533.0,added_ticker,GD
1957-03-04,Union Pacific Corp,100885.0,added_ticker,UNP
1964-03-31,Honeywell Int'l Inc.,773840.0,added_ticker,HON
1964-03-31,Abbott Laboratories,1800.0,added_ticker,ABT
1964-03-31,Howmet Aerospace,4281.0,added_ticker,HWM
1964-06-30,Sherwin-Williams,89800.0,added_ticker,SHW
1965-03-31,Schlumberger Ltd.,87347.0,added_ticker,SLB
1965-03-31,Cummins Inc.,26172.0,added_ticker,CMI
1965-03-31,Emerson Electric Company,32604.0,added_ticker,EMR
1967-09-30,CSX Corp.,277948.0,added_ticker,CSX
1969-03-31,General Mills,40704.0,added_ticker,GIS
1969-03-31,The Clorox Company,21076.0,added_ticker,CLX
1969-06-30,Newmont Corporation,1164727.0,added_ticker,NEM
1970-06-30,McDonald's Corp.,63908.0,added_ticker,MCD
1970-12-31,Lilly (Eli) & Co.,59478.0,added_ticker,LLY
1972-09-30,Becton Dickinson,10795.0,added_ticker,BDX
1972-09-30,Baxter International Inc.,10456.0,added_ticker,BAX
1973-06-30,Johnson & Johnson,200406.0,added_ticker,JNJ
1973-12-31,Genuine Parts,40987.0,added_ticker,GPC
1974-12-31,HP Inc.,47217.0,added_ticker,HPQ
1975-03-31,Williams Companies,107263.0,added_ticker,WMB
1975-06-30,JPMorgan Chase & Co.,19617.0,added_ticker,JPM
1976-03-31,International Flavors & Fragrances,51253.0,added_ticker,IFF
1976-06-30,Wells Fargo,72971.0,added_ticker,WFC
1976-06-30,American Express Co,4962.0,added_ticker,AXP
1976-06-30,The Walt Disney Company,1744489.0,added_ticker,DIS
1976-06-30,CIGNA Corp.,1739940.0,added_ticker,CI
1976-06-30,NextEra Energy,753308.0,added_ticker,NEE
1976-06-30,Molson Coors Beverage Company,24545.0,added_ticker,TAP
1976-06-30,Lincoln National,59558.0,added_ticker,LNC
1976-06-30,Duke Energy,1326160.0,added_ticker,DUK
1976-06-30,Bank of America Corp,70858.0,added_ticker,BAC
1976-12-31,Target Corp.,27419.0,added_ticker,TGT
1976-12-31,Intel Corp.,50863.0,added_ticker,INTC
1978-12-31,Textron Inc.,217346.0,added_ticker,TXT
